key,name,description,ticker,startMoment,endMoment,moreInfo,draftMode,key:sponsor
sponsorship-10,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",AB06-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-11,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",AB07-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-12,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",AB08-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-13,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,AB09-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-14,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,AB10-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-15,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A ,AB11-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#startMoment/endMoment - standar
sponsorship-16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB12-\wwwwwww,2025/01/01 0:00,2025/01/01 0:01,http://lorem.com/ipsum,true,sponsor-01
sponsorship-17,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB13-\wwwwwww,2200/12/31 23:58,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-18,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB14-\wwwwwww,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
#moreInfo - standar
sponsorship-19,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB15-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://a.b",true,sponsor-01
sponsorship-20,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB16-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true,sponsor-01
sponsorship-21,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB17-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true,sponsor-01
sponsorship-22,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB18-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org",true,sponsor-01
sponsorship-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB19-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"https://www.lorem-ipsum.org",true,sponsor-01
sponsorship-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB20-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org/dolor/sit.html",true,sponsor-01
sponsorship-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB21-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org/dolor/sit.html#dolor",true,sponsor-01
sponsorship-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB22-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org?a=1&b=2",true,sponsor-01
sponsorship-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB23-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org?",true,sponsor-01
sponsorship-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB24-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org?a",true,sponsor-01
sponsorship-29,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB25-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org?a&b",true,sponsor-01
sponsorship-30,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB26-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org/",true,sponsor-01
sponsorship-31,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB27-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org/a",true,sponsor-01
sponsorship-32,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB28-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org/a/b",true,sponsor-01
sponsorship-33,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB29-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org/a/b?",true,sponsor-01
sponsorship-34,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB30-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,"http://example.org/a/b?a&b",true,sponsor-01
#draftMode - standar
sponsorship-35,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB31-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,false,sponsor-01
#sponsor - standar
sponsorship-36,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB32-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-02
#name - standar
sponsorship-37,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB34-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-38,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB35-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-39,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB36-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-40,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB37-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-41,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB38-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-42,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB39-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-43,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB40-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-44,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB41-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-45,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB42-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-46,' or 'A' = 'A ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB43-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01


